row,column,row_win_probability,samples
claudecode / claude-fable-5 / xhigh,claudecode / claude-opus-4-6 / xhigh,0.000000,9
claudecode / claude-fable-5 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.000000,6
claudecode / claude-fable-5 / xhigh,claudecode / claude-opus-5 / xhigh,0.555556,9
claudecode / claude-fable-5 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.333333,9
claudecode / claude-fable-5 / xhigh,codex / gpt-5.5 / xhigh,1.000000,9
claudecode / claude-fable-5 / xhigh,codex / gpt-5.6-luna / xhigh,1.000000,9
claudecode / claude-fable-5 / xhigh,codex / gpt-5.6-sol / xhigh,0.000000,9
claudecode / claude-fable-5 / xhigh,codex / gpt-5.6-terra / xhigh,1.000000,9
claudecode / claude-fable-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,1.000000,9
claudecode / claude-fable-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.666667,9
claudecode / claude-fable-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,0.333333,9
claudecode / claude-fable-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,1.000000,9
claudecode / claude-fable-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,0.333333,9
claudecode / claude-fable-5 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / xhigh,0.888889,9
claudecode / claude-fable-5 / xhigh,opencode / fireworks-ai/qwen3.8-27b / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,claudecode / claude-fable-5 / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,claudecode / claude-opus-4-8 / xhigh,0.666667,6
claudecode / claude-opus-4-6 / xhigh,claudecode / claude-opus-5 / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,claudecode / claude-sonnet-5 / xhigh,0.555556,9
claudecode / claude-opus-4-6 / xhigh,codex / gpt-5.5 / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,codex / gpt-5.6-luna / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,codex / gpt-5.6-sol / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,codex / gpt-5.6-terra / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-flash-0731 / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/deepseek-v4-pro-0813 / xhigh,0.666667,9
claudecode / claude-opus-4-6 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / max,1.000000,9
claudecode / claude-opus-4-6 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/kimi-k3 / xhigh,1.000000,9
claudecode / claude-opus-4-6 / xhigh,opencode / fireworks-ai/accounts/fireworks/models/qwen3p8-max / max,1.000000,9
